condition,frame_id,scene_category,success,failure_reason,map_cells
original,5991fad3280c4f84b331536c32001a04,sparse,True,,533
dropout_10pct,5991fad3280c4f84b331536c32001a04,sparse,True,,526
sparse_50pct,5991fad3280c4f84b331536c32001a04,sparse,True,,482
noise_medium,5991fad3280c4f84b331536c32001a04,sparse,True,,535
original,6d1d793b68b24165be5755a54054c82a,dense,True,,759
dropout_10pct,6d1d793b68b24165be5755a54054c82a,dense,True,,741
sparse_50pct,6d1d793b68b24165be5755a54054c82a,dense,True,,665
noise_medium,6d1d793b68b24165be5755a54054c82a,dense,True,,758
original,b26e791522294bec90f86fd72226e35c,many_vehicles,True,,1132
dropout_10pct,b26e791522294bec90f86fd72226e35c,many_vehicles,True,,1106
sparse_50pct,b26e791522294bec90f86fd72226e35c,many_vehicles,True,,931
noise_medium,b26e791522294bec90f86fd72226e35c,many_vehicles,True,,1138
original,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,True,,1257
dropout_10pct,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,True,,1236
sparse_50pct,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,True,,1047
noise_medium,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,True,,1263
original,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,True,,1059
dropout_10pct,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,True,,1036
sparse_50pct,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,True,,887
noise_medium,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,True,,1055
original,5c85640c10d9485c86bf6eb44778c002,normal,True,,509
dropout_10pct,5c85640c10d9485c86bf6eb44778c002,normal,True,,503
sparse_50pct,5c85640c10d9485c86bf6eb44778c002,normal,True,,472
noise_medium,5c85640c10d9485c86bf6eb44778c002,normal,True,,506
original,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,True,,1055
dropout_10pct,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,True,,1035
sparse_50pct,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,True,,887
noise_medium,858a1ece22cf45d9bc71e42336604b78,difficult_geometry,True,,1052
