x,y,elevation,occupancy,semantic_class,confidence,importance,resolution,point_count,region_id,semantic_source
-50.35672378540039,-4.361371040344238,4.715837001800537,1.0,unknown,0.0,0.45336428293520037,0.1,1,0,fallback
-38.502297719319664,-12.42275619506836,3.774156173070272,1.0,unknown,0.0,0.4839833524721625,0.1,3,1,fallback
-35.1314811706543,-12.230469703674316,4.13144588470459,1.0,unknown,0.0,0.5067776246186343,0.1,4,2,fallback
-34.87518419538225,-11.145119667053223,2.074250817298889,1.0,unknown,0.0,0.5161502304339712,0.1,7,3,fallback
-33.035481452941895,-10.911118507385254,4.48200024664402,1.0,unknown,0.0,0.5618460957775296,0.1,8,4,fallback
-32.52427005767822,-9.389622926712036,5.766596078872681,1.0,unknown,0.0,0.5164289456788602,0.1,4,5,fallback
-32.031124114990234,-1.3356772065162659,6.040248870849609,1.0,unknown,0.0,0.5088540669429972,0.1,2,6,fallback
-30.54417896270752,-13.068533897399902,4.6679346561431885,1.0,unknown,0.0,0.5063497579859443,0.1,2,7,fallback
-31.624291038513185,-11.121460247039796,2.339444601535797,1.0,unknown,0.0,0.5347519969152474,0.1,10,8,fallback
-30.361312866210938,-9.308475494384766,4.112232089042664,1.0,unknown,0.0,0.573597840516752,0.1,2,9,fallback
-31.893386840820312,-2.349761724472046,6.025273323059082,1.0,unknown,0.0,0.5090605110548319,0.1,1,10,fallback
-31.943827311197918,-1.7973614533742268,6.028100490570068,1.0,unknown,0.0,0.5090858217056412,0.1,3,11,fallback
-29.941312789916992,-12.020626068115234,3.009056568145752,1.0,unknown,0.0,0.5082074436545977,0.1,1,12,fallback
-29.188694880558895,-10.773566466111403,4.778204445655529,1.0,unknown,0.0,0.5739663401853123,0.1,13,13,fallback
-29.350690364837646,-9.675106763839722,5.6353453397750854,1.0,unknown,0.0,0.5234111290272326,0.1,4,14,fallback
-26.013084411621094,-30.686641693115234,2.8090670108795166,1.0,unknown,0.0,0.4843138166521541,0.1,1,15,fallback
-27.18168354034424,-12.922220230102539,0.6985345184803009,1.0,unknown,0.0,0.5153728726562398,0.1,2,16,fallback
-27.221453189849854,-10.601515054702759,3.2702304124832153,1.0,unknown,0.0,0.5846120786224378,0.1,4,17,fallback
-26.91338014602661,-8.265705823898315,2.133519560098648,1.0,unknown,0.0,0.5303907972257662,0.1,4,18,fallback
-27.562114079793293,-7.6912916501363116,2.0005668799082437,1.0,unknown,0.0,0.5196160150010201,0.1,3,19,fallback
-24.396352291107178,-34.070322036743164,-0.24085733128595166,1.0,unknown,0.0,0.49330994037463527,0.1,4,20,fallback
-25.14182186126709,-11.154513359069824,0.6382550895214081,1.0,unknown,0.0,0.5225250947870433,0.1,2,21,fallback
-25.87750244140625,-8.537697474161783,1.6934287945429485,1.0,unknown,0.0,0.5332883834930648,0.1,3,22,fallback
-23.690611521402996,-34.049373626708984,-0.32002095338733244,1.0,unknown,0.0,0.4957578580265828,0.1,3,23,fallback
-23.44953727722168,-33.9893798828125,-0.956319272518158,1.0,unknown,0.0,0.48111929653894625,0.1,1,24,fallback
-22.315378189086914,-25.220458984375,3.6694041887919107,1.0,unknown,0.0,0.5297905101018873,0.1,3,25,fallback
-22.765012741088867,-22.515361785888672,1.2375751932462056,1.0,unknown,0.0,0.520427998356974,0.1,3,26,fallback
-22.700584048316593,-10.813100905645461,1.5375575508390154,1.0,unknown,0.0,0.5581559859072945,0.1,21,27,fallback
-23.223253631591795,-9.65864315032959,0.9919244706630707,1.0,unknown,0.0,0.5445850320246409,0.1,10,28,fallback
-21.641931533813477,-11.040193176269531,1.5861781358718872,1.0,unknown,0.0,0.5508264115893992,0.1,5,29,fallback
-20.31642436981201,-0.41058941185474396,3.824246406555176,1.0,unknown,0.0,0.5442076498177357,0.1,2,30,fallback
-20.277528381347658,1.4448904752731324,3.8328715562820435,1.0,unknown,0.0,0.5441994403538271,0.1,10,31,fallback
-20.255969047546387,2.8836528403418407,3.866273743765695,1.0,unknown,0.0,0.5441009915397546,0.1,14,32,fallback
-18.961048126220703,-16.358646392822266,2.9226837158203125,1.0,unknown,0.0,0.5298725088888742,0.1,1,33,fallback
-18.939794540405273,-15.482452392578125,2.0967135429382324,1.0,unknown,0.0,0.5646607808647737,0.1,3,34,fallback
-18.631842613220215,-12.336890697479248,2.609053373336792,1.0,unknown,0.0,0.5386941930297976,0.1,2,35,fallback
-18.500303268432617,-10.400740796869451,0.8048649674112146,1.0,unknown,0.0,0.5539133956420181,0.1,11,36,fallback
-18.417680740356445,-8.9936892191569,2.774959603945414,1.0,unknown,0.0,0.5984899788608845,0.1,3,37,fallback
-18.678123620840218,-7.057473494456365,2.2271509181994658,1.0,unknown,0.0,0.5711996740318886,0.1,26,38,fallback
-18.867538452148438,5.494629383087158,3.727587938308716,1.0,unknown,0.0,0.5460459956092288,0.1,1,39,fallback
-18.858808517456055,7.150689125061035,3.2462795257568358,1.0,unknown,0.0,0.5602314751353886,0.1,5,40,fallback
-18.822965621948242,8.805876731872559,3.9555935859680176,1.0,unknown,0.0,0.54265717765133,0.1,1,41,fallback
-18.781587600708008,13.10091495513916,2.1593058109283447,1.0,unknown,0.0,0.5363018337276481,0.1,1,42,fallback
-16.045848846435547,-16.28995132446289,2.666585683822632,1.0,unknown,0.0,0.5364034547939603,0.1,1,43,fallback
-17.549327850341797,-15.047078768412272,2.5325729052225747,1.0,unknown,0.0,0.5680192424212533,0.1,3,44,fallback
-16.95671157836914,-13.396411323547364,1.3978046536445619,1.0,unknown,0.0,0.5683321264754,0.1,5,45,fallback
-17.16861343383789,-10.673348188400269,2.108982875943184,1.0,unknown,0.0,0.5756278296479972,0.1,4,46,fallback
-17.21332761976454,-8.324487368265787,2.121654447582033,1.0,unknown,0.0,0.5805742153130354,0.1,9,47,fallback
-17.115151998159046,-7.343970504966942,2.2646512058941095,1.0,unknown,0.0,0.5738227491155053,0.1,37,48,fallback
-15.956130027770996,-16.02521324157715,2.103851079940796,1.0,unknown,0.0,0.5371571676290678,0.1,1,49,fallback
-15.336014747619629,-14.906763485499791,1.4655281113726752,1.0,unknown,0.0,0.56547387431349,0.1,14,50,fallback
-15.491946792602539,-13.569685935974121,2.221562898159027,1.0,unknown,0.0,0.5685313996505454,0.1,5,51,fallback
-14.616389547075544,-10.637406485421318,1.6985794476100378,1.0,unknown,0.0,0.581969509116919,0.1,7,52,fallback
-15.163257916768393,-8.785718536376953,1.894506581624349,1.0,unknown,0.0,0.575323007729067,0.1,15,53,fallback
-15.038491071656694,-7.527178065721379,2.1884978108627853,1.0,unknown,0.0,0.5819532993238808,0.1,43,54,fallback
-14.253066698710123,-1.5784119367599487,1.0025588075319927,1.0,unknown,0.0,0.5622609232751807,0.1,3,55,fallback
-13.166006381695087,-14.697513947120079,1.0171091969196613,1.0,unknown,0.0,0.5638462694581713,0.1,13,56,fallback
-12.877848307291666,-13.553075710932413,0.9708535174528757,1.0,unknown,0.0,0.5754333120510093,0.1,12,57,fallback
-12.851106484731039,-10.70495637257894,1.5815839204523299,1.0,unknown,0.0,0.5812455106065936,0.1,18,58,fallback
-12.793138457126306,-8.701910722451132,1.6612312881672968,1.0,unknown,0.0,0.5821587650584444,0.1,61,59,fallback
-12.985496711730956,-7.632999873161316,1.6959315620362758,1.0,unknown,0.0,0.5905537121717208,0.1,40,60,fallback
-12.355576038360596,5.212052941322327,2.316254675388336,1.0,unknown,0.0,0.5711830909461025,0.1,4,61,fallback
-10.23713493347168,-49.01644515991211,-1.1603968143463135,1.0,unknown,0.0,0.45477783968452923,0.1,1,62,fallback
-10.304590225219727,-43.09295654296875,-1.0267974138259888,1.0,unknown,0.0,0.47207638528118867,0.1,1,63,fallback
-10.391880989074707,-40.92221450805664,-1.4654901623725891,1.0,unknown,0.0,0.4942752928828845,0.1,2,64,fallback
-10.719046831130981,-39.29609680175781,-1.1817329823970795,1.0,unknown,0.0,0.49662329037594866,0.1,4,65,fallback
-10.55552864074707,-36.65487289428711,-1.7742730379104614,1.0,unknown,0.0,0.4905666568432182,0.1,1,66,fallback
-10.467120170593262,-31.51980972290039,-1.5446728467941284,1.0,unknown,0.0,0.505363003423922,0.1,1,67,fallback
-10.408921718597412,-28.82871150970459,-0.7104537487030029,1.0,unknown,0.0,0.5136515380742819,0.1,2,68,fallback
-10.378718376159668,-26.575228214263916,-0.8253568261861801,1.0,unknown,0.0,0.5287604767205841,0.1,4,69,fallback
-10.53305721282959,-25.44245147705078,-0.9588334262371063,1.0,unknown,0.0,0.5330952444009034,0.1,2,70,fallback
-10.726410865783691,-22.58437728881836,3.4978108406066895,1.0,unknown,0.0,0.5299934010351911,0.1,1,71,fallback
-10.959716796875,-20.878230094909668,-2.743510901927948,1.0,unknown,0.0,0.5345851328863496,0.1,4,72,fallback
-10.839096387227377,-16.093063354492188,-0.9027743339538574,1.0,unknown,0.0,0.5472249609944625,0.1,3,73,fallback
-10.892873048782349,-15.519563794136047,-0.017365846782922745,1.0,unknown,0.0,0.5860226264123066,0.1,16,74,fallback
-10.561542611373099,-13.23111007088109,1.1136649423523952,1.0,unknown,0.0,0.5941942871152464,0.1,19,75,fallback
-10.95742935046815,-10.889276036045008,1.927094381629375,1.0,unknown,0.0,0.5861541317091173,0.1,57,76,fallback
-11.193159891764322,-8.908440755208334,1.631161611477534,1.0,unknown,0.0,0.5913645519451685,0.1,75,77,fallback
-10.451984640151736,-6.923214151745751,-0.48889598065602874,1.0,unknown,0.0,0.5939767104480587,0.1,126,78,fallback
-10.317034478513351,-4.986391191897185,-0.6647657027286593,1.0,unknown,0.0,0.5859079031595896,0.1,161,79,fallback
-10.317575154097185,-3.4974222312802854,-0.47444090681940154,1.0,unknown,0.0,0.5909358683697149,0.1,92,80,fallback
-11.222152392069498,-1.9555492798487346,0.8841961224873861,1.0,unknown,0.0,0.5748953911031273,0.1,3,81,fallback
-10.556646347045898,2.505231022834778,2.0603296160697937,1.0,unknown,0.0,0.5730786850119706,0.1,4,82,fallback
-10.88329782485962,4.887001991271973,1.7829145252704621,1.0,unknown,0.0,0.5913211837867355,0.1,10,83,fallback
-10.99543571472168,6.849672317504883,1.2691522240638733,1.0,unknown,0.0,0.5897097171307626,0.1,2,84,fallback
-10.498004913330078,8.035914421081543,0.6202020049095154,1.0,unknown,0.0,0.5653382268463797,0.1,1,85,fallback
-10.092033386230469,15.152384757995605,1.292142629623413,1.0,unknown,0.0,0.5503831974983142,0.1,1,86,fallback
-10.56093692779541,16.09163475036621,1.3653662204742432,1.0,unknown,0.0,0.547256888899293,0.1,1,87,fallback
-9.932578086853027,-49.00639724731445,-1.158783197402954,1.0,unknown,0.0,0.45499150788199616,0.1,1,88,fallback
-9.314966837565104,-47.401607513427734,-2.247640689214071,1.0,unknown,0.0,0.46014280609591396,0.1,3,89,fallback
-8.077902793884277,-41.20052719116211,-2.9279353618621826,1.0,unknown,0.0,0.47904515257682945,0.1,1,90,fallback
-9.995935440063477,-38.84316635131836,-0.9295499324798584,1.0,unknown,0.0,0.4846738071837101,0.1,1,91,fallback
-8.002473831176758,-25.098440170288086,-1.2249022722244263,1.0,unknown,0.0,0.5259699957130092,0.1,1,92,fallback
-9.596260070800781,-22.13726234436035,3.9445531368255615,1.0,unknown,0.0,0.5326168574663595,0.1,1,93,fallback
