object_or_region_id,frame_id,condition,semantic_class,semantic_source,input_presence,map_presence,point_count,confidence,assigned_resolution,importance
5991fad3280c4f84b331536c32001a04_r131,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,3,,0.05,0.7705558799199815
5991fad3280c4f84b331536c32001a04_r134,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.1,0.7151267743655736
5991fad3280c4f84b331536c32001a04_r136,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,7,,0.05,0.7655771018386256
5991fad3280c4f84b331536c32001a04_r154,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,78,,0.05,0.8252880421484726
5991fad3280c4f84b331536c32001a04_r155,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,61,,0.05,0.8246163746228823
5991fad3280c4f84b331536c32001a04_r156,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,61,,0.05,0.826397016063241
5991fad3280c4f84b331536c32001a04_r158,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,10,,0.05,0.799145304947011
5991fad3280c4f84b331536c32001a04_r160,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,17,,0.05,0.7957911572844613
5991fad3280c4f84b331536c32001a04_r161,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,13,,0.05,0.7904960725361713
5991fad3280c4f84b331536c32001a04_r163,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.1,0.7438661479703552
5991fad3280c4f84b331536c32001a04_r165,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,2,,0.1,0.7145156038008837
5991fad3280c4f84b331536c32001a04_r166,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,2,,0.1,0.7092169506104
5991fad3280c4f84b331536c32001a04_r167,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.1,0.6779648086006548
5991fad3280c4f84b331536c32001a04_r168,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.1,0.6684778281633179
5991fad3280c4f84b331536c32001a04_r171,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.1,0.6755601220199215
5991fad3280c4f84b331536c32001a04_r172,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.1,0.6776361372237246
5991fad3280c4f84b331536c32001a04_r241,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,6,,0.05,0.7546995652120152
5991fad3280c4f84b331536c32001a04_r312,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,720,,0.05,0.8461022870159212
5991fad3280c4f84b331536c32001a04_r316,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,158,,0.05,0.8323696761293823
5991fad3280c4f84b331536c32001a04_r317,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,82,,0.05,0.8302766476785496
5991fad3280c4f84b331536c32001a04_r320,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,14,,0.05,0.8099089262285704
5991fad3280c4f84b331536c32001a04_r323,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,5,,0.05,0.7901490059715761
5991fad3280c4f84b331536c32001a04_r324,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,2,,0.05,0.7849597747854722
5991fad3280c4f84b331536c32001a04_r327,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,2,,0.1,0.7481303281406583
5991fad3280c4f84b331536c32001a04_r328,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.1,0.7476121437152462
5991fad3280c4f84b331536c32001a04_r334,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.1,0.6439858159550367
5991fad3280c4f84b331536c32001a04_r343,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,17,,0.05,0.7839345788519428
5991fad3280c4f84b331536c32001a04_r344,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,4,,0.05,0.7733401386800581
5991fad3280c4f84b331536c32001a04_r345,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,4,,0.05,0.7874956466454894
5991fad3280c4f84b331536c32001a04_r347,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,43,,0.05,0.8238066464854336
5991fad3280c4f84b331536c32001a04_r349,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,2,,0.05,0.8029980652030786
5991fad3280c4f84b331536c32001a04_r350,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,68,,0.05,0.8190540082998726
5991fad3280c4f84b331536c32001a04_r352,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,43,,0.05,0.8466413228000463
5991fad3280c4f84b331536c32001a04_r353,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,145,,0.05,0.8409261654846855
5991fad3280c4f84b331536c32001a04_r354,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,175,,0.05,0.8426525157810697
5991fad3280c4f84b331536c32001a04_r355,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,100,,0.05,0.8442126337325554
5991fad3280c4f84b331536c32001a04_r356,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,248,,0.05,0.8430285970196999
5991fad3280c4f84b331536c32001a04_r357,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,244,,0.05,0.8406730797780456
5991fad3280c4f84b331536c32001a04_r358,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,181,,0.05,0.8418605633512637
5991fad3280c4f84b331536c32001a04_r359,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,134,,0.05,0.8371816900816619
5991fad3280c4f84b331536c32001a04_r360,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,43,,0.05,0.827169502066952
