condition,condition_type,condition_parameter,seed,input_points,processed_points,dropped_points,retained_ratio,degraded_points,map_cells,fine_cells,medium_cells,coarse_cells,res_20cm_cells,res_50cm_cells,average_resolution,spatial_coverage,mean_importance,mean_uncertainty,preprocessing_latency_ms,perception_latency_ms,feature_extraction_latency_ms,importance_latency_ms,resolution_latency_ms,mapping_latency_ms,total_latency_ms,fps,success,failure_reason,exception_type,stage_of_failure,file,frame_id,scene_category,timestamp,dropout_rate,sparsity_level,noise_level,scene_id
original,original,,42,34359,34359,0,1.0,34359,533,45,384,104,104,0,0.1152908067542214,10263.897967141278,0.5653436515506368,0.5,18.738899962045252,642.6262999884784,1383.2292000297457,72.92089995462447,0.6945999339222908,154.80030002072453,2199.394700000994,0.4546705509472893,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,,,,scene-0655
dropout_5pct,dropout,0.05,42,34359,32622,1737,0.9494455601152536,32622,530,45,381,104,104,0,0.11537735849056605,10263.297879061463,0.5646103083247033,0.5,17.43250002618879,569.4934000493959,1285.9311000211164,86.45880001131445,1.3921000063419342,121.80119997356087,1994.658200070262,0.5013390263879671,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,0.05,,,scene-0655
dropout_10pct,dropout,0.1,42,34359,30991,3368,0.9019761925550802,30991,526,45,380,101,101,0,0.11492395437262358,10262.789895419875,0.5652538575497877,0.5,18.5720999725163,583.1554000033066,905.7045999215916,42.342000058852136,1.3067999389022589,95.98270000424236,1603.4147999016568,0.6236689346146322,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,0.1,,,scene-0655
dropout_20pct,dropout,0.2,42,34359,27513,6846,0.8007508949620187,27513,516,45,373,98,98,0,0.11463178294573645,10262.23372853369,0.565618343074949,0.5,12.715699966065586,500.50970003940165,805.7264999952167,46.592799946665764,0.5458000814542174,75.63259999733418,1394.5844999980181,0.7170594539100507,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,0.2,,,scene-0655
dropout_30pct,dropout,0.3,42,34359,24044,10315,0.699787537471987,24044,504,46,362,96,96,0,0.11448412698412702,10262.231311778245,0.5656890887058151,0.5,15.528099960647523,381.5902000060305,665.9720999887213,47.15170001145452,1.2796999653801322,88.85649999137968,1151.946899946779,0.8680955693758114,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,0.3,,,scene-0655
sparse_75pct,sparsity,0.75,42,34359,25769,8590,0.749992723886027,25769,517,45,377,95,95,0,0.11402321083172147,10263.87876077024,0.5677929810827619,0.5,10.194199974648654,488.6215999722481,753.7792000221089,41.089799953624606,1.2006000615656376,96.77959990222007,1349.3745998712257,0.7410840548617357,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,,0.75,,scene-0655
sparse_50pct,sparsity,0.5,42,34359,17180,17179,0.5000145522279461,17180,482,46,354,82,82,0,0.11224066390041496,10020.55580678676,0.5708074271081796,0.5,8.097300073131919,379.1787999216467,1096.7695000581443,36.182899959385395,0.27630000840872526,147.95170002616942,1631.9973000790924,0.6127461117438959,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,,0.5,,scene-0655
sparse_25pct,sparsity,0.25,42,34359,8590,25769,0.25000727611397305,8590,414,38,318,58,58,0,0.10942028985507248,10022.887557310949,0.5751661301801952,0.5,4.656500066630542,148.9585000090301,692.1203000238165,55.33100001048297,0.879199942573905,212.93230005539954,1058.6676001548767,0.9445835499770712,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,,0.25,,scene-0655
noise_low,noise,0.01,42,34359,34359,0,1.0,34359,532,44,383,105,105,0,0.1156015037593985,10264.71438928683,0.5648829332348003,0.5,18.839200027287006,532.7659000176936,753.9872999768704,34.48319993913174,0.8379999781027436,60.53989997599274,1366.1322999978438,0.731993526543204,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,,,low,scene-0655
noise_medium,noise,0.03,42,34359,34359,0,1.0,34359,535,44,384,107,107,0,0.11588785046728972,10266.733344904438,0.5643380944446673,0.5,10.249600047245622,562.2132000280544,667.7460999926552,35.781700047664344,0.8601999143138528,74.27009998355061,1314.4790000515059,0.7607576841933698,True,,,,5991fad3280c4f84b331536c32001a04_LIDAR_TOP_xyzi.npy,5991fad3280c4f84b331536c32001a04,sparse,1535385092150099.0,,,medium,scene-0655
