metric,value,mean,median,min,max,std,n
n_frames,7.0,,,,,,
n_conditions,11.0,,,,,,
n_runs,77.0,,,,,,
successful_runs,77.0,,,,,,
failed_runs,0.0,,,,,,
latency_ms,,1145.3612753335242,1001.2873999075964,268.22359999641776,2958.197599975392,535.3239228611183,77.0
fps,,1.072137016952655,0.9987142553599344,0.3380436790322318,3.7282327133531705,0.5539409621530531,77.0
map_cells,,848.0649350649351,887.0,414.0,1263.0,268.9121035062699,77.0
fine_cells,,41.883116883116884,38.0,7.0,75.0,19.499645088520555,77.0
medium_cells,,549.6233766233767,563.0,318.0,804.0,141.6037873936918,77.0
coarse_cells,,256.5584415584416,241.0,46.0,482.0,149.98223522054147,77.0
mean_importance,,0.5429532655754796,0.542607805519914,0.5131048674472302,0.5916407963801347,0.025182734523115237,77.0
average_resolution,,0.12459534806878157,0.1235153256704981,0.10223577235772358,0.14060579455662864,0.0121647914663912,77.0
