region_id,x,y,distance,elevation,height_std,point_density,point_count,semantic_label,semantic_importance,confidence,dynamic_relevance,uncertainty,semantic_source,dominant_class_ratio,uncertainty_source,dynamic_source,terrain_complexity
0,-26.005449295043945,31.25728988647461,40.66081115870919,6.6808695793151855,0.0,0.25,1,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.0
1,-24.56118392944336,29.479907035827637,38.37077891908094,4.04336142539978,2.2503368854522705,0.5,2,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.8516223962688422
2,-25.032727813720705,31.410624694824218,40.165467823927145,1.9772790908813476,1.6337312783606708,2.5,10,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.6182728262294144
3,-22.82749366760254,29.170964770846897,37.041053613611275,3.2703498668140836,1.7214725838990053,2.25,9,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.6514778371579427
4,-22.868874277387345,31.086550167628697,38.592214396681676,1.6037639805248805,0.9097898368194643,3.5,14,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.3443028490276526
5,-20.694095770517986,28.774152596791584,35.44287597561488,4.211357208235616,2.3091935989067838,3.0,12,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.873896259205843
6,-21.25862142774794,30.493634965684677,37.172446226052045,0.8693218436900578,0.8159330701221331,2.25,9,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.30878348964748475
7,-20.77883529663086,74.52229309082031,77.36492851285159,5.410311222076416,0.0,0.25,1,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.0
8,-18.48380470275879,27.96859359741211,33.524517358299576,4.711943626403809,0.0,0.25,1,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.0
9,-18.691194025675454,28.579834111531575,34.14919694441012,2.393700474787814,1.7780622395589691,3.75,15,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.6728937498013874
10,-19.13903045654297,30.227120399475098,35.77682622118461,0.8335615267618172,1.2680124633514935,1.5,6,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.4798694006747019
11,-18.378469467163086,62.627723693847656,65.2686748373856,9.947559356689453,0.7631511688232422,0.5,2,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.2888085918646788
12,-19.026390075683594,68.60798645019531,71.19732666373264,13.414660453796387,0.0,0.25,1,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.0
13,-16.66039161682129,27.776320457458496,32.38969939627839,2.6463270624604776,1.137639730078449,2.5,10,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.4305308593052418
14,-16.90500511441912,29.062055247170584,33.62115781926809,1.8158764433049197,1.271961793383815,7.0,28,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.4813639937409779
15,-17.048789660135906,30.358727773030598,34.81829376739384,2.8242048819859824,1.4361352509888121,1.5,6,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.5434941549062512
16,-16.364612579345703,48.711063385009766,51.38645970458092,3.5936264991760254,0.0,0.25,1,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.0
17,-16.462689808436803,53.105272565569194,55.59847237103016,8.763570513044085,1.523358717413867,1.75,7,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.5765031936719519
18,-17.385411262512207,54.97258377075195,57.65620080441502,4.708779811859131,0.6949167251586914,0.5,2,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.26298580026519025
19,-17.641135215759277,56.84898376464844,59.52324425612203,4.855909109115601,0.680063009262085,0.5,2,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.25736452764279255
20,-17.673283767700195,63.05332870483399,65.48333543653298,9.83076877593994,1.5803640517875124,1.25,5,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.5980764166739087
21,-14.128142356872559,17.291975021362305,22.329729210079428,-1.0410394668579102,0.0,0.25,1,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.0
22,-14.94877265481388,19.262823890237247,24.382825679391757,-0.23160746229490647,0.2772023724790014,4.25,17,vehicle,1.0,0.0,0.8,0.5,annotation,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.10490507009332954
23,-14.52761697769165,20.068915367126465,24.775250131197453,-0.287055866632727,0.2873509360215394,0.5,2,vehicle,1.0,0.0,0.8,0.5,annotation,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.1087457146024497
24,-14.891753938463,22.42131339179145,26.916159264959308,-0.6246826648712158,0.005779220208718441,2.25,9,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.0021871006934701493
25,-14.827050654093425,27.113135401407877,30.902484404884493,4.201044511795044,1.3860575544161051,3.75,15,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.5245426422547126
26,-15.012765526771545,29.075082619984943,32.72221811125845,1.8226293740178032,1.3434525696792272,6.0,24,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.5084191189595215
27,-14.050337314605713,33.37504959106445,36.21195816108559,5.080137729644775,0.7843718528747559,0.5,2,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.29683939379448937
28,-14.257161140441895,35.519891103108726,38.274394936579064,4.1794741948445635,1.1261728615247224,0.75,3,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.4261913125740146
29,-14.633556365966797,37.70832443237305,40.44822250004355,3.7739343643188477,0.0,0.25,1,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.0
30,-14.133156776428223,38.30973434448242,40.83358747418496,1.9045236110687256,0.0,0.25,1,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.0
31,-14.736618518829346,44.89640712738037,47.25309829330765,7.489053130149841,1.336732422038103,2.0,8,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.5058759316374756
32,-15.885601043701172,53.50935363769531,55.81758904900476,7.1859681606292725,0.6542575359344482,0.5,2,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.2475986480652924
33,-12.931636376814408,17.28974897211248,21.59079986709187,-1.0068643201481213,0.01681306248614176,2.75,11,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.006362772016772114
34,-12.994815746943155,22.40642277399699,25.90198868473409,-0.6012243429819742,0.00759664613013033,3.0,12,unknown,0.5,0.0,0.2,0.5,fallback,1.0,documented fallback 0.5 (no estimator),PROJECT_DYNAMIC_PRIOR heuristic (not measured velocity),0.0028748913208378533
